case_id,mean_data,median_data,mode_data,try_number,pass_number,average_upload_times,test_cases_number
2092,0.0,0.0,0.0,1,0,1.0,9
2162,16.666666666666668,0.0,0.0,1,1,6.0,3
2324,100.0,100.0,100.0,1,1,1.0,5
2362,100.0,100.0,100.0,1,1,1.0,6
2363,50.0,50.0,0.0|100.0,1,1,2.0,5
2367,100.0,100.0,100.0,1,1,1.0,5
2370,80.0,80.0,80.0,1,0,1.0,5
2377,100.0,100.0,100.0,1,1,1.0,3
2379,100.0,100.0,100.0,1,1,1.0,5
2382,100.0,100.0,100.0,1,1,1.0,5
2402,100.0,100.0,100.0,1,1,1.0,1
2403,24.0,0.0,0.0,1,1,5.0,5
2407,51.111111111111114,60.0,60.0,1,1,9.0,5
2409,50.0,50.0,0.0|100.0,1,1,2.0,5
2411,21.153846153846153,25.0,0.0,1,1,13.0,4
2419,50.0,50.0,0.0|100.0,1,1,2.0,5
2420,100.0,100.0,100.0,1,1,1.0,6
2421,44.443333333333335,33.33,33.33|0.0|100.0,1,1,3.0,6
2442,53.333333333333336,60.0,0.0|60.0|100.0,1,1,3.0,5
2471,100.0,100.0,100.0,1,1,1.0,5
2483,100.0,100.0,100.0,1,1,1.0,5
2484,75.0,75.0,75.0,1,0,1.0,4
2485,100.0,100.0,100.0,1,1,1.0,4
2487,100.0,100.0,100.0,1,1,1.0,4
2518,23.333333333333332,10.0,0.0,1,1,6.0,5
2519,42.0,60.0,0.0|60.0,1,1,10.0,5
2521,100.0,100.0,100.0,1,1,1.0,3
2523,0.0,0.0,0.0,1,0,1.0,2
2528,41.665,33.33,33.33,1,1,4.0,6
2529,90.0,90.0,80.0|100.0,1,1,2.0,5
2530,48.0,40.0,0.0|100.0,1,1,5.0,5
2531,33.333333333333336,0.0,0.0,1,1,3.0,5
2557,100.0,100.0,100.0,1,1,1.0,4
2559,100.0,100.0,100.0,1,1,1.0,5
2590,75.0,75.0,75.0,1,0,1.0,4
2606,50.0,50.0,50.0,1,1,5.0,2
2646,100.0,100.0,100.0,1,1,1.0,4
2649,100.0,100.0,100.0,1,1,1.0,4
2703,38.888888888888886,50.0,50.0,1,1,18.0,2
2707,62.5,50.0,50.0,1,1,4.0,2
2715,30.554166666666667,33.33,33.33,1,0,12.0,3
2721,100.0,100.0,100.0,1,1,1.0,5
2722,100.0,100.0,100.0,1,1,1.0,5
2723,100.0,100.0,100.0,1,1,1.0,4
2724,100.0,100.0,100.0,1,1,1.0,3
2725,100.0,100.0,100.0,1,1,1.0,5
2727,100.0,100.0,100.0,1,1,1.0,4
2729,50.0,50.0,0.0|100.0,1,1,2.0,5
2730,100.0,100.0,100.0,1,1,1.0,5
2731,100.0,100.0,100.0,1,1,1.0,5
2759,100.0,100.0,100.0,1,1,1.0,4
2760,100.0,100.0,100.0,1,1,1.0,4
2761,100.0,100.0,100.0,1,1,1.0,4
2815,100.0,100.0,100.0,1,1,1.0,10
2819,100.0,100.0,100.0,1,1,1.0,10
2824,100.0,100.0,100.0,1,1,1.0,10
2830,100.0,100.0,100.0,1,1,1.0,10
2831,100.0,100.0,100.0,1,1,1.0,5
2832,100.0,100.0,100.0,1,1,1.0,10
2834,100.0,100.0,100.0,1,1,1.0,5
2836,100.0,100.0,100.0,1,1,1.0,10
2837,100.0,100.0,100.0,1,1,1.0,10
2838,100.0,100.0,100.0,1,1,1.0,10
2840,100.0,100.0,100.0,1,1,1.0,5
2843,100.0,100.0,100.0,1,1,1.0,10
2844,100.0,100.0,100.0,1,1,1.0,10
2845,60.0,60.0,60.0,1,0,1.0,5
2848,100.0,100.0,100.0,1,1,1.0,5
2849,100.0,100.0,100.0,1,1,1.0,5
2850,95.0,95.0,90.0|100.0,1,1,2.0,10
2851,100.0,100.0,100.0,1,1,1.0,5
2853,100.0,100.0,100.0,1,1,2.0,10
2855,100.0,100.0,100.0,1,1,1.0,9
2858,100.0,100.0,100.0,1,1,1.0,10
2859,80.0,80.0,80.0,1,0,1.0,10
2861,100.0,100.0,100.0,1,1,1.0,5
2863,100.0,100.0,100.0,1,1,1.0,10
2864,40.0,40.0,40.0,1,0,1.0,10
2865,100.0,100.0,100.0,1,1,1.0,10
2866,100.0,100.0,100.0,1,1,1.0,10
2867,100.0,100.0,100.0,1,1,1.0,5
2868,100.0,100.0,100.0,1,1,1.0,10
2870,100.0,100.0,100.0,1,1,1.0,10
2872,100.0,100.0,100.0,1,1,1.0,5
2873,100.0,100.0,100.0,1,1,1.0,5
2875,100.0,100.0,100.0,1,1,1.0,5
2877,100.0,100.0,100.0,1,1,1.0,5
2942,50.0,50.0,0.0|100.0,1,1,2.0,4
2945,100.0,100.0,100.0,1,1,1.0,4
2946,100.0,100.0,100.0,1,1,1.0,6
2957,100.0,100.0,100.0,1,1,1.0,5
2961,66.67,66.67,66.67,1,0,1.0,6
2975,90.0,90.0,80.0|100.0,1,1,2.0,5
2978,100.0,100.0,100.0,1,1,1.0,5
2979,100.0,100.0,100.0,1,1,1.0,5
