60581,average,26.94,26.94,26.57,26.94,26.94,26.94,26.94,26.94,26.94,26.57,26.57,26.94,26.94,26.57,26.57,26.94,26.57,26.94,26.94
60581,排序算法,23.87,27.98,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,27.98,28.4,28.4,27.98,27.98,28.4,27.98,28.4,27.98
60581,查找算法,36.84,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39,32.39
60581,图结构,15.84,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27
60581,树结构,35.16,33.33,32.42,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
60581,数字操作,46.94,44.9,45.31,44.9,45.31,44.9,45.31,45.31,44.9,44.9,44.9,44.9,45.31,44.9,44.9,44.9,44.9,44.9,44.9
60581,字符串,19.03,18.22,18.22,18.22,18.22,18.22,18.22,18.22,17.81,17.81,17.81,18.22,18.22,17.81,17.81,18.22,17.81,18.22,17.81
60581,线性表,36.64,36.64,35.34,36.64,36.64,36.64,36.64,36.64,36.64,36.21,36.64,36.64,36.64,36.21,36.21,36.64,36.21,36.64,36.64
60581,数组,16.92,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31,16.92,16.54,17.31,17.31,17.31,17.31
60587,all,46.49,46.49,46.49,46.49,46.49,46.49,46.49,46.49,46.49,46.13,46.49,46.49,46.49,46.13,46.13,46.49,46.49,46.49,46.49
60587,average,42.07,42.07,42.07,42.07,42.07,42.07,42.07,42.07,42.07,41.7,42.07,42.07,42.07,41.7,41.7,42.07,42.07,42.07,42.07
60587,排序算法,32.92,59.67,59.67,59.67,59.67,59.67,59.67,59.67,59.67,59.67,59.67,59.67,59.67,59.26,59.67,59.67,59.67,59.67,59.67
60587,查找算法,50.61,40.49,40.49,40.49,40.49,40.49,40.49,40.49,40.08,40.49,40.49,40.89,40.49,40.08,40.49,40.49,40.49,40.49,40.49
60587,图结构,74.21,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61
60587,树结构,21.0,21.0,20.55,21.0,21.0,21.0,21.0,21.0,20.55,21.0,20.55,21.0,21.0,20.55,20.55,21.0,20.55,21.0,20.55
60587,数字操作,73.06,74.29,74.29,74.29,74.29,74.29,74.29,74.29,74.29,73.88,74.29,74.29,74.29,74.29,74.29,74.29,74.29,74.29,74.29
60587,字符串,17.81,12.15,12.55,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,11.74,12.15,12.15,12.15,12.15
60587,线性表,25.86,25.86,25.43,25.86,25.86,25.86,25.86,25.86,25.86,25.43,25.86,25.86,25.86,25.86,25.86,25.86,25.86,25.86,25.86
60587,数组,33.08,33.85,33.85,33.85,33.85,33.46,33.46,33.46,33.46,33.46,33.46,33.46,33.46,33.46,33.46,33.46,33.46,33.46,33.46
60604,all,53.87,53.87,53.87,53.87,53.87,53.87,53.87,53.87,53.87,53.51,53.87,53.87,53.87,53.51,53.51,53.87,53.87,53.87,53.87
60604,average,64.21,64.21,64.21,64.21,64.21,64.21,64.21,64.21,64.21,63.84,64.21,64.21,64.21,63.84,63.84,64.21,64.21,64.21,64.21
60604,排序算法,62.55,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91,53.91
60604,查找算法,55.47,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64
60604,图结构,32.58,41.63,41.63,41.63,42.08,41.63,41.63,41.63,41.63,41.63,41.63,41.63,41.63,41.63,41.63,41.63,41.63,41.63,41.63
60604,树结构,32.42,31.96,31.96,32.42,32.42,32.42,32.42,32.42,31.96,31.96,31.96,31.96,32.42,31.96,31.96,32.42,31.96,32.42,31.96
60604,数字操作,64.08,64.49,65.71,64.49,64.49,64.49,64.49,64.9,64.9,64.49,64.9,64.9,64.9,64.49,64.49,64.9,64.49,64.9,64.49
60604,字符串,45.34,40.49,40.49,40.49,40.49,40.08,40.49,40.49,40.08,40.49,40.49,40.49,40.49,40.08,40.08,40.49,40.49,40.49,40.49
60604,线性表,40.95,40.95,39.66,40.95,40.95,40.95,40.95,40.95,40.95,40.52,40.95,40.95,40.95,40.95,40.52,40.95,40.95,40.95,40.95
60604,数组,67.69,71.15,71.15,71.15,70.77,70.77,70.77,70.77,70.77,70.77,70.77,70.77,70.77,70.77,70.77,70.77,70.77,70.77,70.77
60606,all,73.43,73.43,73.06,73.8,73.43,73.06,73.43,73.43,73.06,73.06,73.43,73.43,73.06,73.43,73.43,73.43,73.43,73.43,73.43
60606,average,56.09,56.09,55.72,56.46,56.09,55.72,56.09,56.09,55.72,55.72,56.09,56.09,55.72,56.09,56.09,56.09,56.09,56.09,56.09
60606,排序算法,28.4,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97
60606,查找算法,67.61,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.92,59.51,59.51,59.51,59.51,59.51,59.51,59.51
60606,图结构,65.16,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71
60606,树结构,19.18,18.26,17.81,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26
60606,数字操作,53.47,55.1,55.51,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1
60606,字符串,67.21,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13,61.13
60606,线性表,44.83,46.12,43.53,45.69,43.97,43.97,44.83,44.83,44.83,43.97,44.83,44.83,43.97,44.83,44.83,44.83,44.83,44.83,44.83
60606,数组,96.92,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
60616,all,24.72,25.09,25.46,25.09,24.72,24.35,24.72,24.72,24.72,24.35,24.72,25.09,25.09,24.72,24.72,25.09,24.72,24.72,24.72
60616,average,98.52,98.52,98.52,98.52,98.52,98.15,98.52,98.52,98.52,98.15,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52
60616,查找算法,90.69,92.31,92.31,92.31,92.31,92.31,92.31,92.31,91.9,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31
60616,数字操作,95.92,95.51,96.33,95.51,95.51,95.51,95.51,95.92,95.92,95.51,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.51
60616,字符串,91.9,74.9,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,76.11,75.3,75.3,75.3,75.3,75.3,75.3
60616,数组,86.15,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69
60619,all,67.53,67.53,67.16,67.9,67.9,67.53,67.53,67.9,67.53,67.16,67.53,67.9,67.9,67.16,67.16,67.53,67.16,67.53,67.53
60619,average,51.29,51.29,50.92,51.66,51.66,51.29,51.29,51.66,51.29,50.92,51.29,51.29,51.66,50.92,50.55,51.29,50.92,51.29,51.29
60619,排序算法,29.63,51.85,51.85,51.85,51.85,51.85,51.85,52.26,51.85,51.85,51.85,51.85,52.26,51.85,51.85,51.85,51.85,51.85,51.85
60619,查找算法,58.3,62.75,62.75,62.75,63.16,63.16,62.75,63.16,62.75,62.75,62.75,63.16,63.16,62.75,62.75,63.16,62.75,62.75,62.75
60619,图结构,21.27,23.53,23.53,23.98,23.98,23.98,23.98,23.98,23.98,23.53,23.53,23.98,23.98,23.53,23.53,23.53,23.53,23.53,23.53
60619,树结构,53.42,51.14,50.23,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,50.68,50.68,51.14,51.14,51.14,51.14
60619,数字操作,84.08,84.49,85.31,84.49,84.49,84.49,84.49,85.31,84.49,84.08,84.49,84.9,85.31,84.49,84.49,84.9,84.49,84.9,84.49
60619,字符串,38.06,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36
60619,线性表,59.91,60.34,59.05,60.34,59.91,59.91,59.91,59.91,59.91,59.48,59.91,59.91,59.91,59.48,59.48,59.91,59.91,59.91,59.91
60619,数组,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38
60631,all,66.05,66.42,65.31,66.42,66.05,65.68,66.05,66.42,66.05,66.05,66.05,66.42,66.05,66.05,66.05,66.05,66.05,66.05,66.05
60631,average,46.86,47.23,46.49,47.23,46.86,46.49,46.86,47.23,46.86,46.86,46.86,47.23,46.86,46.86,46.86,46.86,46.86,46.86,46.86
60631,排序算法,11.93,37.45,37.86,37.86,37.45,37.45,37.45,37.86,37.86,37.86,37.45,37.86,37.86,37.45,37.86,37.86,37.45,37.45,37.45
60631,查找算法,74.9,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26
60631,图结构,53.85,49.77,49.77,50.23,50.23,49.77,50.23,50.23,50.23,50.23,50.23,50.23,50.23,49.77,49.77,50.23,50.23,50.23,50.23
60631,树结构,37.44,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25
60631,数字操作,39.59,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41
60631,字符串,60.32,52.63,53.44,53.44,53.04,52.63,53.04,53.04,52.63,53.04,53.04,53.04,53.04,52.63,52.63,53.04,53.04,53.04,53.04
60631,线性表,40.09,40.52,37.93,40.52,40.09,39.66,40.09,40.09,40.09,39.66,40.09,40.09,39.66,40.09,40.09,40.09,40.09,40.09,40.09
60631,数组,72.69,78.46,78.46,78.46,78.08,78.08,78.08,78.08,78.08,78.08,78.08,78.08,78.08,78.08,78.08,78.08,78.08,78.08,78.08
60634,all,85.24,85.98,84.87,85.98,85.61,84.87,85.61,85.98,85.98,85.24,85.61,85.98,85.61,85.61,85.61,85.98,85.61,85.61,85.61
60634,average,71.96,72.32,71.59,72.32,71.96,71.59,71.96,72.32,72.32,71.96,71.96,72.32,71.96,71.96,71.96,72.32,71.96,71.96,71.96
60634,排序算法,59.26,80.25,80.66,80.66,80.25,80.25,80.25,80.66,80.66,80.66,80.25,80.66,80.66,80.25,80.66,80.66,80.25,80.25,80.25
60634,查找算法,97.17,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,75.71,76.11,75.71,75.71,75.71,75.71,75.71,75.71,75.71
60634,图结构,55.66,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9
60634,树结构,60.73,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62,56.62
60634,数字操作,72.65,74.29,74.29,74.29,73.88,73.88,74.29,74.29,74.29,73.88,74.29,74.29,74.29,74.29,74.29,74.29,74.29,74.29,74.29
60634,字符串,51.82,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15
