user_id,average_score,rank(percent)
61097,90.27714285714285,100 %
60759,65.68439411431598,99.59 %
60768,65.59862562858656,99.19 %
60720,62.31357142857143,98.78 %
60742,62.12252548575465,98.37 %
60690,61.93,97.97 %
60603,61.47774551432103,97.56 %
60695,60.43642857142858,97.15 %
60620,59.33714285714286,96.75 %
60724,58.644642857142856,96.34 %
61135,58.114999999999995,95.93 %
60658,57.83192697219881,95.53 %
60714,56.9978231292517,95.12 %
60722,56.710682092263596,94.72 %
60602,54.570382628611796,94.31 %
60652,54.39598031022138,93.90 %
60683,54.25999999999999,93.50 %
60706,54.24071428571428,93.09 %
60753,52.47110550343979,92.68 %
60764,51.390486676024985,92.28 %
60589,50.34857142857143,91.87 %
60738,48.21680593648393,91.46 %
61019,48.081428571428575,91.06 %
60773,47.96380952380952,90.65 %
60659,47.60168522250593,90.24 %
60676,47.149047619047614,89.84 %
60737,46.328478335987256,89.43 %
60900,45.775,89.02 %
60621,45.324718143209545,88.62 %
60635,44.10820148578828,88.21 %
60634,43.749047619047616,87.80 %
60896,43.08935064935064,87.40 %
60673,42.107532467532465,86.99 %
60787,41.77043717058057,86.59 %
60794,41.59313137143866,86.18 %
60756,40.924285714285716,85.77 %
47996,40.52628571428571,85.37 %
60625,40.458571428571425,84.96 %
60730,40.38978424543234,84.55 %
60580,40.17113520000673,84.15 %
60662,40.11485714285713,83.74 %
60833,39.62427297083503,83.33 %
60885,39.29857142857143,82.93 %
39200,39.07273259486235,82.52 %
60747,38.95190476190476,82.11 %
60642,38.89061272898606,81.71 %
60591,38.70764170162318,81.30 %
60733,38.655,80.89 %
61132,38.53549634455524,80.49 %
61048,38.50012987012986,80.08 %
49361,38.42493506493506,79.67 %
58610,38.345400422527945,79.27 %
58758,38.08806722689075,78.86 %
60790,37.9824182597265,78.46 %
60781,37.962380952380954,78.05 %
60699,37.87082021389008,77.64 %
60594,37.59376623376623,77.24 %
58575,37.491628010396944,76.83 %
59140,37.37828571428571,76.42 %
60649,37.2813541524045,76.02 %
60812,37.195579495794,75.61 %
47774,37.12172014006287,75.20 %
60723,36.91384565715295,74.80 %
60791,36.90836993595698,74.39 %
60775,36.81758130138534,73.98 %
60691,36.81593274242433,73.58 %
60715,36.724394701317046,73.17 %
48102,36.481536492248196,72.76 %
60694,36.32936638703072,72.36 %
58586,36.29422541299435,71.95 %
60895,36.15095948387812,71.54 %
60693,36.13610389610389,71.14 %
60624,36.12325975162297,70.73 %
39160,36.02753246753247,70.33 %
61519,35.993521170611906,69.92 %
60755,35.878319327731084,69.51 %
60703,35.79999882948198,69.11 %
60889,35.711710979296356,68.70 %
60610,35.5150425142902,68.29 %
60667,35.391611390482915,67.89 %
58822,35.35526187243186,67.48 %
60758,35.299378451992084,67.07 %
60598,35.2181512605042,66.67 %
60697,35.19753269364143,66.26 %
60762,35.19176940727879,65.85 %
60750,35.05585817420948,65.45 %
60606,35.0458683975108,65.04 %
60614,34.81891514134744,64.63 %
52592,34.74672448001614,64.23 %
60891,34.63210914820061,63.82 %
60632,34.26651071233746,63.41 %
60721,34.21781474018739,63.01 %
60586,34.18563483248607,62.60 %
60770,34.10093555599172,62.20 %
60604,33.935428571428574,61.79 %
47920,33.87184897765894,61.38 %
8160,33.75012987012987,60.98 %
60587,33.46168255747003,60.57 %
60611,33.45441882866418,60.16 %
60719,33.329523809523806,59.76 %
60752,33.199230438101964,59.35 %
60717,33.13060508285083,58.94 %
60876,33.07865546218487,58.54 %
60657,33.02420168067227,58.13 %
61659,32.75469387755102,57.72 %
60899,32.71428571428571,57.32 %
60769,32.71259278556943,56.91 %
60688,32.68090141997483,56.50 %
59308,32.6598319327731,56.10 %
60615,32.55915131426406,55.69 %
60608,32.48972679658223,55.28 %
60710,32.463265306122445,54.88 %
