user_id,case_id,upload_id
3544,2172,268885
3544,2172,268889
3544,2172,268891
3544,2172,268892
3544,2176,234524
3544,2176,234528
3544,2176,235147
3544,2176,239384
3544,2307,283563
3544,2450,240848
3544,2450,240849
3544,2456,256169
3544,2456,256175
3544,2456,256176
3544,2456,256177
3544,2456,256178
3544,2804,239258
3544,2804,246142
3544,2908,236494
3544,2908,252563
3544,2908,252565
3544,2908,252576
3544,2908,252577
3544,2908,252578
48117,2061,255132
48117,2063,237181
48117,2064,237222
48117,2065,237307
48117,2065,237322
48117,2065,237324
48117,2067,237993
48117,2067,237995
48117,2067,237998
48117,2067,238000
48117,2068,238009
48117,2069,238012
48117,2069,238070
48117,2069,238144
48117,2070,238153
48117,2070,238169
48117,2070,238176
48117,2070,238180
48117,2070,238188
48117,2070,238197
48117,2070,238200
48117,2070,238202
48117,2080,305481
48117,2080,305484
48117,2080,305485
48117,2080,305487
48117,2080,305495
48117,2080,317579
48117,2080,317582
48117,2080,317585
48117,2080,317587
48117,2080,317590
48117,2081,249317
48117,2081,249318
48117,2081,249321
48117,2081,249325
48117,2081,249326
48117,2081,249346
48117,2084,317603
48117,2084,317605
48117,2084,317607
48117,2084,317612
48117,2084,317618
48117,2084,317623
48117,2084,317626
48117,2084,317630
48117,2084,317639
48117,2084,317645
48117,2084,317650
48117,2084,317651
48117,2084,317652
48117,2085,317656
48117,2085,317660
48117,2085,317662
48117,2085,317663
48117,2085,317667
48117,2085,317673
48117,2085,317677
48117,2085,317680
48117,2085,317684
48117,2085,317687
48117,2085,317691
48117,2085,317695
48117,2086,317702
48117,2086,317706
48117,2086,317709
48117,2086,317712
48117,2086,317714
48117,2087,317717
48117,2087,317718
48117,2087,317721
48117,2087,317724
48117,2087,317725
48117,2087,317728
48117,2087,317729
48117,2087,317731
48117,2087,317735
48117,2087,317737
48117,2087,317739
48117,2087,317742
48117,2087,317744
48117,2087,317746
48117,2087,317748
48117,2087,317752
48117,2087,317755
48117,2087,317757
48117,2087,317759
48117,2087,317763
48117,2087,317765
48117,2088,317771
48117,2088,317778
48117,2088,317784
48117,2088,317791
48117,2088,317802
48117,2088,317803
48117,2088,317814
48117,2088,317821
48117,2088,317825
48117,2088,317826
48117,2088,317830
48117,2088,317836
48117,2088,317840
48117,2088,317845
48117,2088,317851
48117,2088,317858
48117,2093,238808
48117,2094,238826
48117,2095,238938
48117,2096,238970
48117,2097,239107
48117,2097,239111
48117,2097,239121
48117,2097,239126
48117,2097,239129
48117,2097,239130
48117,2097,239135
48117,2097,239137
48117,2097,239138
48117,2097,239139
48117,2097,239140
48117,2097,239141
48117,2097,239152
48117,2097,239168
48117,2098,239264
48117,2098,239266
48117,2098,239268
48117,2098,239270
48117,2098,239272
48117,2098,239273
48117,2098,239274
48117,2098,239275
48117,2099,239308
48117,2099,239310
48117,2099,239313
48117,2099,239315
48117,2100,240574
48117,2105,240727
48117,2105,240737
48117,2106,241268
48117,2106,241299
48117,2106,241305
48117,2108,241338
48117,2109,241363
48117,2109,241365
48117,2110,241409
48117,2111,241434
48117,2111,241441
48117,2111,241444
48117,2111,241445
48117,2111,241456
48117,2113,241474
48117,2113,241475
48117,2114,241507
48117,2114,241511
48117,2114,241513
48117,2116,241831
48117,2116,241832
48117,2116,241833
48117,2116,241834
48117,2116,241835
48117,2116,241836
48117,2116,241838
48117,2117,241884
48117,2120,241910
48117,2121,241934
48117,2121,241935
48117,2121,241936
48117,2121,241951
48117,2121,241952
