user_id,case_id,case_type,final_score,upload_id,code_url,upload_score,upload_time
48117,2080,图结构,0,305481,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585292306411.zip,0.0,1585292307212
48117,2080,图结构,0,305484,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585292351183.zip,0.0,1585292351941
48117,2080,图结构,0,305485,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585292377509.zip,0.0,1585292382185
48117,2080,图结构,0,305487,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585292387239.zip,0.0,1585292391925
48117,2080,图结构,0,305495,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585292480682.zip,0.0,1585292485345
48117,2080,图结构,0,317579,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585650063499.zip,0.0,1585650064226
48117,2080,图结构,0,317582,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585650074916.zip,0.0,1585650079598
48117,2080,图结构,0,317585,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585650111470.zip,0.0,1585650112260
48117,2080,图结构,0,317587,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585650117823.zip,0.0,1585650118624
48117,2080,图结构,0,317590,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E5%B9%BF%E5%BA%A6%E4%BC%98%E5%85%88%E9%81%8D%E5%8E%86%E5%9B%BE_1585650137950.zip,0.0,1585650138712
48117,2081,字符串,100,249317,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4238/48117/%E5%AD%90%E4%B8%B2%E6%9F%A5%E6%89%BE_1582445732269.zip,0.0,1582445733033
48117,2081,字符串,100,249318,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4238/48117/%E5%AD%90%E4%B8%B2%E6%9F%A5%E6%89%BE_1582445739632.zip,75.0,1582445740363
48117,2081,字符串,100,249321,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4238/48117/%E5%AD%90%E4%B8%B2%E6%9F%A5%E6%89%BE_1582445788354.zip,75.0,1582445789169
48117,2081,字符串,100,249325,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4238/48117/%E5%AD%90%E4%B8%B2%E6%9F%A5%E6%89%BE_1582445825580.zip,100.0,1582445826384
48117,2081,字符串,100,249326,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4238/48117/%E5%AD%90%E4%B8%B2%E6%9F%A5%E6%89%BE_1582445840507.zip,75.0,1582445841257
48117,2081,字符串,100,249346,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4238/48117/%E5%AD%90%E4%B8%B2%E6%9F%A5%E6%89%BE_1582446238035.zip,100.0,1582446238801
48117,2084,图结构,100,317603,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650244815.zip,0.0,1585650245662
48117,2084,图结构,100,317605,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650271433.zip,0.0,1585650272534
48117,2084,图结构,100,317607,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650284718.zip,0.0,1585650285775
48117,2084,图结构,100,317612,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650322213.zip,10.0,1585650323383
48117,2084,图结构,100,317618,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650354240.zip,20.0,1585650355215
48117,2084,图结构,100,317623,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650384868.zip,30.0,1585650386198
48117,2084,图结构,100,317626,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650409162.zip,40.0,1585650410323
48117,2084,图结构,100,317630,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650430987.zip,50.0,1585650432108
48117,2084,图结构,100,317639,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650456976.zip,60.0,1585650457991
48117,2084,图结构,100,317645,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650480256.zip,70.0,1585650481471
