user_id,category,higher_error,lower_error,abs_error
3544,all,0,-0.36999999999999966,0.36999999999999966
3544,average,0,-0.7400000000000002,0.7400000000000002
3544,查找算法,0,0,0
3544,字符串,0,-0.41000000000000003,0.41000000000000003
3544,线性表,0,-30.179999999999993,30.179999999999993
3544,数组,0,-0.3900000000000001,0.3900000000000001
48117,all,1.0999999999999943,-0.740000000000002,1.0999999999999943
48117,average,2.210000000000001,-1.8399999999999999,2.210000000000001
48117,排序算法,0,-10.29,10.29
48117,查找算法,3.2300000000000004,0,3.2300000000000004
48117,图结构,8.149999999999999,0,8.149999999999999
48117,数字操作,0,-7.350000000000001,7.350000000000001
48117,字符串,3.2399999999999984,-2.4299999999999997,3.2399999999999984
48117,线性表,5.169999999999998,-7.759999999999998,7.759999999999998
48117,数组,6.539999999999999,0,6.539999999999999
49405,all,3.6899999999999977,-2.219999999999999,3.6899999999999977
49405,average,4.790000000000006,-4.429999999999993,4.790000000000006
49405,排序算法,11.519999999999996,0,11.519999999999996
49405,查找算法,5.260000000000002,0,5.260000000000002
49405,图结构,0,-3.6199999999999903,3.6199999999999903
49405,树结构,3.200000000000003,-18.72,18.72
49405,数字操作,1.629999999999999,-0.41000000000000014,1.629999999999999
49405,字符串,3.240000000000009,0,3.240000000000009
49405,线性表,7.330000000000002,-11.209999999999997,11.209999999999997
49405,数组,12.700000000000003,0,12.700000000000003
51584,all,0.3700000000000001,-0.3700000000000001,0.3700000000000001
51584,average,26.569999999999997,-0.370000000000001,26.569999999999997
51584,查找算法,17.819999999999993,0,17.819999999999993
51584,图结构,0,0,0
51584,数字操作,0,-0.41000000000000014,0.41000000000000014
51584,字符串,4.049999999999997,0,4.049999999999997
51584,数组,0,0,0
60581,all,3.3200000000000003,-5.159999999999997,5.159999999999997
60581,average,2.5799999999999983,-4.799999999999997,4.799999999999997
60581,排序算法,1.2300000000000004,0,1.2300000000000004
60581,查找算法,0,-5.259999999999998,5.259999999999998
60581,图结构,10.4,0,10.4
60581,树结构,0,-20.550000000000004,20.550000000000004
60581,数字操作,5.309999999999995,-1.6300000000000026,5.309999999999995
60581,字符串,11.329999999999998,0,11.329999999999998
60581,线性表,6.900000000000006,-11.639999999999993,11.639999999999993
60581,数组,0.39000000000000057,-1.5399999999999991,1.5399999999999991
60587,all,2.9499999999999957,-0.740000000000002,2.9499999999999957
60587,average,4.049999999999997,-0.36999999999999744,4.049999999999997
60587,排序算法,24.28,0,24.28
60587,查找算法,0,-12.949999999999996,12.949999999999996
60587,图结构,0,-4.530000000000001,4.530000000000001
60587,树结构,1.8200000000000003,-5.029999999999998,5.029999999999998
60587,数字操作,10.61,-0.8200000000000074,10.61
60587,字符串,8.509999999999998,-6.879999999999999,8.509999999999998
60587,线性表,7.759999999999998,-11.640000000000004,11.640000000000004
60587,数组,12.699999999999996,0,12.699999999999996
60604,all,2.210000000000001,-1.480000000000004,2.210000000000001
60604,average,4.799999999999997,-1.0999999999999943,4.799999999999997
60604,排序算法,0,-30.870000000000005,30.870000000000005
60604,查找算法,20.240000000000002,0,20.240000000000002
