user_id,average_score,rank(percent)
61019,94.54642857142858,100 %
60724,92.14285714285714,99.54 %
61046,91.62857142857142,99.09 %
60750,90.86908267166216,98.63 %
60751,90.17142857142856,98.17 %
60639,89.70857142857143,97.72 %
60885,89.25666729401122,97.26 %
60679,89.2057142857143,96.80 %
61048,88.44,96.35 %
60898,85.57142857142857,95.89 %
60899,84.97500658711795,95.43 %
61041,84.80857142857143,94.98 %
60589,84.11877551020407,94.52 %
60768,83.23642857142858,94.06 %
60637,80.3848445519492,93.61 %
60719,79.80182247839582,93.15 %
60766,79.57639737105849,92.69 %
60686,79.54878743364861,92.24 %
60794,78.61439303170067,91.78 %
39200,78.44539629243383,91.32 %
39160,73.91321337226267,90.87 %
60889,73.89487939033937,90.41 %
60662,72.50016159588866,89.95 %
47996,72.06603174603174,89.50 %
58586,71.13167680959727,89.04 %
61132,71.09219409361673,88.58 %
60773,69.740727499073,88.13 %
60691,69.61814015357336,87.67 %
60690,69.06089306163443,87.21 %
52592,69.01928571428572,86.76 %
60757,68.13149936987537,86.30 %
60603,67.99857142857142,85.84 %
60615,67.4330758622583,85.39 %
60781,67.19224944873082,84.93 %
58547,67.07252001560374,84.47 %
60598,66.63109124860951,84.02 %
60791,66.0937297996183,83.56 %
60777,65.53332706297162,83.11 %
60720,65.0827389717605,82.65 %
60672,65.05285714285714,82.19 %
61659,63.61102040816326,81.74 %
60710,63.37306122448979,81.28 %
60628,63.348571428571425,80.82 %
60601,63.236742929262405,80.37 %
60661,63.179183673469375,79.91 %
60658,60.96203856618111,79.45 %
60747,60.528737458258924,79.00 %
60580,60.13990139352187,78.54 %
60608,59.74597402597403,78.08 %
58575,59.680476190476185,77.63 %
60594,59.33238095238095,77.17 %
47774,59.30891079741936,76.71 %
60699,59.21036256855621,76.26 %
49405,58.870375494537406,75.80 %
60614,58.435473977755,75.34 %
60776,58.22705507504611,74.89 %
60717,57.56229115788457,74.43 %
60667,57.03882683599529,73.97 %
60698,56.59012035975887,73.52 %
60620,56.24979712059402,73.06 %
60738,55.42500147417157,72.60 %
60755,55.293168072377675,72.15 %
60653,55.19090950925362,71.69 %
60673,55.190610848323416,71.23 %
60792,55.10775510204081,70.78 %
60846,55.08968336716202,70.32 %
60697,54.74505494505494,69.86 %
58610,54.69,69.41 %
60764,53.07400270168699,68.95 %
59137,52.2836492978038,68.49 %
60591,52.00117519081024,68.04 %
60593,51.531462254822635,67.58 %
60739,51.429529435994525,67.12 %
60896,50.75583565138827,66.67 %
60660,50.16997216886083,66.21 %
60635,49.8090841387596,65.75 %
60587,49.58238457423694,65.30 %
60756,49.46666573546501,64.84 %
60665,49.3888127660513,64.38 %
60606,49.13133375266197,63.93 %
49361,48.769314072516515,63.47 %
60758,48.28252001560373,63.01 %
60683,47.89932972044956,62.56 %
60634,47.54775510204082,62.10 %
60770,47.35119284050484,61.64 %
60876,47.11809419025521,61.19 %
60694,46.78190013510302,60.73 %
60610,46.67055762500154,60.27 %
59018,46.026996108884376,59.82 %
48721,45.934821428571425,59.36 %
60787,45.88102040816326,58.90 %
60891,44.9389274955029,58.45 %
47961,44.65315470157809,57.99 %
61406,44.630497020895355,57.53 %
60746,44.60285714285714,57.08 %
60733,44.50547338705603,56.62 %
60727,44.4893652583349,56.16 %
60676,44.47899404743692,55.71 %
60767,44.28413339938081,55.25 %
60640,44.19013241213921,54.79 %
60742,43.76323189566313,54.34 %
60602,42.20285714285715,53.88 %
60695,42.00825396825397,53.42 %
60648,41.95456867915612,52.97 %
60771,41.00204081632653,52.51 %
60621,40.82029820076521,52.05 %
60759,40.40620528519645,51.60 %
60654,40.050144757539016,51.14 %
60631,39.6243279380259,50.68 %
60761,39.520907015232076,50.23 %
60737,39.49770961382119,49.77 %
60799,39.29145905404316,49.32 %
60647,39.21823048702387,48.86 %
59140,39.03952380952381,48.40 %
60795,38.98337506704046,47.95 %
60693,38.925605702866555,47.49 %
60760,38.78202134590387,47.03 %
61135,38.74448979591836,46.58 %
60734,38.63734245941501,46.12 %
60788,38.44039865319101,45.66 %
60753,38.32433421220854,45.21 %
60668,37.649635084832646,44.75 %
60643,37.56761904761905,44.29 %
60670,37.02010925675813,43.84 %
60832,36.892641858085874,43.38 %
58585,36.70687319198227,42.92 %
60723,36.580627508037615,42.47 %
60752,36.47813580071317,42.01 %
60721,36.13066365235587,41.55 %
60671,35.38404065729037,41.10 %
60895,35.06171422895788,40.64 %
60604,34.84559054435605,40.18 %
58616,34.28404761904761,39.73 %
40186,33.95033644971863,39.27 %
60622,33.35853863703779,38.81 %
58778,32.84299830798964,38.36 %
60677,32.54193899333334,37.90 %
60678,32.51344108957781,37.44 %
60706,32.48285714285714,36.99 %
60825,31.516812582794035,36.53 %
60731,31.102857142857147,36.07 %
61053,30.393473079674628,35.62 %
58822,30.290952380952376,35.16 %
60669,30.203809523809525,34.70 %
60870,29.904079313201155,34.25 %
48025,29.4215873015873,33.79 %
47937,29.324064885925647,33.33 %
60722,29.200618821310965,32.88 %
60762,28.81012884679913,32.42 %
60625,28.182857142857145,31.96 %
60769,28.170639378824813,31.51 %
60715,27.842877130296493,31.05 %
60692,27.78050590615859,30.59 %
60592,27.714683572544637,30.14 %
8317,27.56371428571428,29.68 %
60797,26.675220038192734,29.22 %
60837,26.356237768949406,28.77 %
60649,26.315604395604396,28.31 %
60778,26.28461414836365,27.85 %
60812,25.910913130251647,27.40 %
