user_id,average_score,rank(percent)
58758,92.75193277310925,100 %
60768,92.47143360184303,99.57 %
47996,91.59771428571428,99.14 %
60759,91.57286720368609,98.71 %
60794,91.48440418233315,98.28 %
60683,91.40285714285714,97.84 %
60673,91.13350649350649,97.41 %
61097,90.27714285714285,96.98 %
60720,90.17071428571428,96.55 %
60742,89.97443784224959,96.12 %
60690,89.78714285714285,95.69 %
60584,89.57499999999999,95.26 %
60625,89.26809523809523,94.83 %
60594,89.08727272727273,94.40 %
60773,89.03523809523809,93.97 %
39200,89.02998406862915,93.53 %
60662,88.86485714285713,93.10 %
48102,88.45799287942435,92.67 %
58575,88.12683940533321,92.24 %
61659,87.85673469387756,91.81 %
58610,87.83621835270388,91.38 %
60747,87.76142857142855,90.95 %
60657,87.68806722689074,90.52 %
60693,87.62961038961038,90.09 %
60710,87.56530612244899,89.66 %
61212,87.52476190476189,89.22 %
60672,87.50154703947601,88.79 %
60620,87.19428571428571,88.36 %
60896,87.0503896103896,87.93 %
60624,87.04660372156438,87.50 %
60603,87.038106975729,87.07 %
58586,86.9294368079306,86.64 %
60781,86.77190476190475,86.21 %
60598,86.60470588235293,85.78 %
47774,86.50326818977776,85.34 %
60737,85.99234793826588,84.91 %
61135,85.97214285714284,84.48 %
49361,85.69766233766234,84.05 %
50263,85.55892857142857,83.62 %
60652,85.10776085108593,83.19 %
60758,85.07249074788689,82.76 %
60651,85.0,82.33 %
60719,84.91682539682539,81.90 %
61019,84.50999999999999,81.47 %
60714,84.41278911564625,81.03 %
60665,84.38,80.60 %
60833,84.34012818276535,80.17 %
60580,84.3248408834602,79.74 %
60613,84.28571428571428,79.31 %
60634,84.04666666666667,78.88 %
60649,83.86111369195861,78.45 %
61048,83.72740259740259,78.02 %
58822,83.69620994718694,77.59 %
59137,83.63844155844154,77.16 %
60750,83.60699463774229,76.72 %
60724,83.6,76.29 %
60658,83.51708390949126,75.86 %
59140,82.8782857142857,75.43 %
60635,82.80226891019618,75.00 %
60699,82.64385826773392,74.57 %
60695,82.49000000000001,74.14 %
39160,82.45610389610388,73.71 %
60602,82.42229498510673,73.28 %
60610,82.25243360484647,72.84 %
61143,81.48047000091852,72.41 %
60591,81.47250568875438,71.98 %
60895,81.44840060596962,71.55 %
60722,81.3966980404328,71.12 %
60791,81.38005791505842,70.69 %
60608,81.28174776413294,70.26 %
59308,80.7690756302521,69.83 %
60723,80.42428906789536,69.40 %
52592,80.35103725209807,68.97 %
60698,80.28496815480821,68.53 %
60585,80.09021950130402,68.10 %
60715,79.41022826867945,67.67 %
60661,79.29267593739525,67.24 %
60653,79.27879507201682,66.81 %
60638,79.1269969826968,66.38 %
60676,78.93476190476188,65.95 %
60589,78.2057142857143,65.52 %
60753,78.18215503145632,65.09 %
60614,77.82420439608488,64.66 %
58547,77.42878860065026,64.22 %
60769,77.31164343365366,63.79 %
60764,77.10638506108393,63.36 %
60697,76.91794271347784,62.93 %
48090,76.85573906434016,62.50 %
47920,76.69240732393304,62.07 %
60706,76.2942857142857,61.64 %
60679,76.13503075920039,61.21 %
60601,75.7695238095238,60.78 %
60637,75.64062553160254,60.34 %
60659,75.45946207972732,59.91 %
60770,75.25875729763332,59.48 %
60728,75.11729370779653,59.05 %
8160,75.11376623376623,58.62 %
60644,75.06676123366167,58.19 %
60885,74.95333333333333,57.76 %
60667,74.90245993107924,57.33 %
47879,74.74777700501564,56.90 %
60691,74.45386088009177,56.47 %
60751,74.2261224489796,56.03 %
60599,73.91877983314329,55.60 %
60587,73.30708709092653,55.17 %
60696,73.14566014438087,54.74 %
60611,73.08363187835842,54.31 %
60717,72.97343769838992,53.88 %
60775,72.71820461194287,53.45 %
58778,72.66242382091762,53.02 %
47937,72.44103896103897,52.59 %
60752,71.93626945488877,52.16 %
60812,71.87210609455708,51.72 %
48721,71.67980937143753,51.29 %
60630,71.46058903390251,50.86 %
60774,71.36690256535633,50.43 %
60641,70.84280417048662,50.00 %
60891,70.38758644932528,49.57 %
48025,70.24132699931873,49.14 %
60604,70.14971428571428,48.71 %
60639,69.66954494923769,48.28 %
60727,69.66630925563425,47.84 %
60762,69.38620663684867,47.41 %
60692,69.14512434949935,46.98 %
60787,69.02447232218853,46.55 %
61715,68.54448462304865,46.12 %
60721,68.40250740916143,45.69 %
60616,68.37285714285713,45.26 %
60788,68.34880541454525,44.83 %
60619,67.92808633763444,44.40 %
60900,67.82857142857144,43.97 %
60899,67.5952380952381,43.53 %
61406,67.57944521265502,43.10 %
60738,67.35764413663604,42.67 %
60660,67.01245006407822,42.24 %
60606,66.35137876123507,41.81 %
60686,65.75275470744792,41.38 %
60761,65.66786527115494,40.95 %
60731,65.35,40.52 %
58585,63.98701298701298,40.09 %
60829,63.83465098159366,39.66 %
60825,63.468566548793156,39.22 %
60671,63.14090118308591,38.79 %
40186,62.77422284399008,38.36 %
60739,62.48113310894411,37.93 %
