user_id,average_score,rank(percent)
47996,92.94176870748299,100 %
60662,92.67238095238095,99.58 %
60794,92.4372713628653,99.16 %
58758,92.43602484472048,98.74 %
60713,91.51428571428569,98.32 %
60737,90.52222222222223,97.90 %
48102,90.46475435606258,97.48 %
61019,90.26920634920636,97.06 %
61212,90.14399999999999,96.64 %
60828,89.99999999999999,96.22 %
61406,89.99174603174602,95.80 %
60700,89.18708427405,95.38 %
51584,89.18285714285713,94.96 %
60711,88.96,94.54 %
60768,88.62542857142856,94.12 %
60616,88.29957378397143,93.70 %
49361,88.03809523809524,93.28 %
60620,87.988,92.86 %
60889,87.89401550572275,92.44 %
60766,87.71444904832546,92.02 %
60756,87.34545266585371,91.60 %
58575,86.93620748938558,91.18 %
60757,86.60472049689442,90.76 %
60719,86.33178663739046,90.34 %
60755,86.1790696471737,89.92 %
60598,86.17513393416478,89.50 %
61048,85.91956941604187,89.08 %
60706,85.89646833920274,88.66 %
60695,85.88833626020792,88.24 %
60764,85.86807096844157,87.82 %
60683,85.86671000890148,87.39 %
60624,85.799967698804,86.97 %
60630,85.77771497345415,86.55 %
60876,85.65430124807256,86.13 %
39190,85.53939182940739,85.71 %
39160,85.42181756449918,85.29 %
60594,85.3295238095238,84.87 %
60724,85.23485714285714,84.45 %
60777,85.01191857354783,84.03 %
60791,84.97348460040197,83.61 %
61659,84.93311335695553,83.19 %
60625,84.8175,82.77 %
60899,84.65968253968254,82.35 %
61041,84.4342857142857,81.93 %
60585,84.42528074311157,81.51 %
60895,84.24012420103081,81.09 %
60679,84.10048155733938,80.67 %
60885,84.07108718118393,80.25 %
60591,83.16305074064637,79.83 %
60580,83.04102489896782,79.41 %
60752,82.88611280313467,78.99 %
60665,82.80115531202257,78.57 %
60637,82.57528281606913,78.15 %
60720,82.36773238463357,77.73 %
60658,82.28210650944014,77.31 %
60639,82.21053855209783,76.89 %
58822,81.86114481461732,76.47 %
60673,81.53927236371109,76.05 %
58586,81.45557657368322,75.63 %
50263,81.45222560626934,75.21 %
60714,81.31357142857142,74.79 %
60742,81.16247354843142,74.37 %
61135,80.84630133397697,73.95 %
59308,80.53968510493466,73.53 %
60634,80.52761904761904,73.11 %
60601,80.21571428571428,72.69 %
60690,80.11062796435543,72.27 %
60667,80.08380622125358,71.85 %
60635,79.96750148509207,71.43 %
60781,79.7905926995784,71.01 %
58616,79.72727956423567,70.59 %
60638,79.51148909315104,70.17 %
60898,79.3691293088101,69.75 %
60759,79.26809374033402,69.33 %
60686,79.21706196242901,68.91 %
60590,79.18953421320347,68.49 %
60795,79.03895285795757,68.07 %
60631,79.03842815644003,67.65 %
60603,78.90698922185197,67.23 %
60608,78.8442857142857,66.81 %
48090,78.58886323414195,66.39 %
60835,78.42399716750377,65.97 %
60604,78.29333333333334,65.55 %
60610,78.12967817592923,65.13 %
60792,78.10063869719727,64.71 %
60833,77.86766861888843,64.29 %
60896,77.42138247955072,63.87 %
60773,77.08836190096255,63.45 %
60697,76.41507496167142,63.03 %
60602,75.89628571428571,62.61 %
60599,75.76167825863952,62.18 %
60619,75.63672663798975,61.76 %
60797,75.32341700153485,61.34 %
60762,74.84820567377304,60.92 %
60628,74.77142857142857,60.50 %
58610,74.52789115646257,60.08 %
60776,74.34500586756909,59.66 %
60672,74.30746176633647,59.24 %
60693,73.83869753623553,58.82 %
60589,73.66740376053505,58.40 %
60606,73.43698412698411,57.98 %
61097,73.4053068979021,57.56 %
60671,73.23664782569661,57.14 %
39200,73.10574692867618,56.72 %
60832,73.08366502614099,56.30 %
60739,72.17789878199557,55.88 %
60676,72.08448414189972,55.46 %
60758,71.40942265610745,55.04 %
60641,71.34538431847602,54.62 %
60837,71.18812405016043,54.20 %
60622,71.16854109466624,53.78 %
60691,70.61161724817049,53.36 %
60747,70.47571292804008,52.94 %
60812,69.68751408619966,52.52 %
60870,69.48401206545562,52.10 %
60721,68.95535313702155,51.68 %
60753,68.52460176702024,51.26 %
60799,68.5223177190633,50.84 %
60769,68.25285341700788,50.42 %
60866,68.23424100637428,50.00 %
60592,68.2050446596372,49.58 %
60763,67.60187426761621,49.16 %
60738,67.48983112170538,48.74 %
60846,67.472049689441,48.32 %
60810,67.2584308842263,47.90 %
61053,67.13031564159395,47.48 %
60715,67.09752278247053,47.06 %
60767,66.98888520939231,46.64 %
60614,66.77893676995856,46.22 %
60651,66.7703025504595,45.80 %
8160,66.28225769039516,45.38 %
60640,65.5897523776958,44.96 %
60775,65.40340649244581,44.54 %
58778,64.72290903811827,44.12 %
60785,64.496004088826,43.70 %
49823,64.40311217588352,43.28 %
52592,64.30086669032028,42.86 %
59137,64.1508605198732,42.44 %
60703,64.0167853658339,42.02 %
59140,63.980136054421756,41.60 %
60611,63.919015917742854,41.18 %
60587,63.91113879816962,40.76 %
60722,63.898945128580785,40.34 %
60707,63.808571428571426,39.92 %
47774,63.79720579128905,39.50 %
60699,63.79060745748817,39.08 %
60771,63.577044977002856,38.66 %
60652,63.397730687334374,38.24 %
60723,63.286035453947086,37.82 %
60787,63.21395284541369,37.39 %
60621,63.167544705882236,36.97 %
60790,62.78762272685367,36.55 %
58547,62.7685160196569,36.13 %
60694,62.72417675069071,35.71 %
60617,62.44349442017409,35.29 %
60829,62.33713929264132,34.87 %
61046,62.25311305819559,34.45 %
60688,62.02905471668343,34.03 %
60761,61.411300283603765,33.61 %
60644,60.39827410783853,33.19 %
60774,60.22868837861665,32.77 %
60717,60.17097460355822,32.35 %
60649,59.6890936701721,31.93 %
60581,59.34618630393541,31.51 %
60642,59.10884473641568,31.09 %
60733,58.911428571428566,30.67 %
60730,58.88634159556568,30.25 %
60593,58.879918663979176,29.83 %
60660,58.848979591836724,29.41 %
61519,58.8143647932671,28.99 %
58865,58.2152380952381,28.57 %
60670,56.964864922991595,28.15 %
60825,56.230873629727114,27.73 %
60891,55.64560614581951,27.31 %
61132,55.63209041315372,26.89 %
60760,55.21253060607037,26.47 %
60770,54.915517691691626,26.05 %
60900,54.855897139066045,25.63 %
60705,54.79812882352591,25.21 %
60659,54.001968043294916,24.79 %
47920,51.927350406540825,24.37 %
60727,51.301069475313504,23.95 %
60765,50.96016348903657,23.53 %
60788,50.74731627570732,23.11 %
48117,49.74678922873644,22.69 %
60648,49.581925070641404,22.27 %
60627,48.323744712791544,21.85 %
60613,48.30949007188511,21.43 %
60595,47.31037422756613,21.01 %
47937,46.328246078023696,20.59 %
60678,45.48325979129537,20.17 %
49405,44.810214341220856,19.75 %
60654,44.23178045176539,19.33 %
60716,43.6781675983328,18.91 %
48025,43.37142857142857,18.49 %
60636,42.78362924862425,18.07 %
58585,42.614244091931425,17.65 %
60734,41.03787910356671,17.23 %
60708,39.28806192014014,16.81 %
47961,38.50991596638655,16.39 %
48721,37.196768107041194,15.97 %
60796,36.791584451534604,15.55 %
61020,36.6304083069126,15.13 %
60584,34.77103127720358,14.71 %
60618,34.36573006473043,14.29 %
60632,33.75983455275616,13.87 %
61715,31.096334746156863,13.45 %
58634,30.97984372372086,13.03 %
60677,29.50660233817694,12.61 %
60839,29.186556325577698,12.18 %
40186,28.845714285714287,11.76 %
60793,26.97124647314449,11.34 %
60725,25.654226695995977,10.92 %
61143,24.662268329899224,10.50 %
59018,23.88326176252906,10.08 %
60586,23.71947181829242,9.66 %
8246,23.68447023438492,9.24 %
8317,22.72875634000939,8.82 %
8318,22.72875634000939,8.82 %
16304,22.72875634000939,8.82 %
49687,22.72875634000939,8.82 %
60605,22.647189753563687,7.14 %
60731,21.517857142857142,6.72 %
60778,18.41804487448987,6.30 %
60643,16.975238095238094,5.88 %
60623,16.440369289823362,5.46 %
61094,16.18360562273573,5.04 %
60712,15.529356798096824,4.62 %
60578,13.71428571428571,4.20 %
60836,10.523809523809522,3.78 %
48083,10.249115699702472,3.36 %
61106,8.7385325280955,2.94 %
60901,4.655714285714285,2.52 %
60772,1.2789781783320742,2.10 %
60782,0.6795918367346938,1.68 %
3544,0.0,1.26 %
60827,0.0,1.26 %
2843,0.0,1.26 %
