case_id,mean_data,median_data,mode_data,try_number,pass_number,average_upload_times,test_cases_number
2061,100.0,100.0,100.0,1,1,1.0,1
2063,100.0,100.0,100.0,1,1,1.0,3
2064,87.5,87.5,75.0|100.0,1,1,2.0,4
2065,50.0,25.0,25.0,1,1,3.0,4
2067,33.333333333333336,0.0,0.0,1,1,3.0,4
2068,100.0,100.0,100.0,1,1,1.0,2
2069,100.0,100.0,100.0,1,1,1.0,2
2070,88.89,100.0,100.0,1,1,3.0,3
2080,100.0,100.0,100.0,1,1,2.0,1
2081,50.0,50.0,0.0|100.0,1,1,2.0,4
2086,50.0,50.0,0.0|100.0,1,1,2.0,3
2093,100.0,100.0,100.0,1,1,1.0,2
2094,50.0,50.0,50.0,1,1,1.0,4
2095,100.0,100.0,100.0,1,1,2.0,2
2096,62.5,50.0,50.0,1,1,4.0,2
2097,43.75,50.0,75.0,1,1,4.0,4
2098,66.66499999999999,66.66499999999999,33.33|100.0,1,1,2.0,3
2099,100.0,100.0,100.0,1,1,1.0,4
2100,100.0,100.0,100.0,1,1,2.0,3
2105,100.0,100.0,100.0,1,1,1.0,1
2106,100.0,100.0,100.0,1,1,1.0,3
2108,100.0,100.0,100.0,1,1,1.0,3
2109,100.0,100.0,100.0,1,1,1.0,3
2110,100.0,100.0,100.0,1,1,1.0,3
2111,33.333333333333336,0.0,0.0,1,1,3.0,3
2113,50.0,50.0,0.0|100.0,1,1,2.0,4
2114,100.0,100.0,100.0,1,1,1.0,3
2115,0.0,0.0,0.0,1,1,4.0,6
2116,100.0,100.0,100.0,1,1,1.0,1
2117,100.0,100.0,100.0,1,1,1.0,2
2119,100.0,100.0,100.0,1,1,1.0,3
2120,60.0,66.67,66.67|33.33,1,1,5.0,3
2121,50.0,50.0,0.0|100.0,1,1,2.0,4
2122,100.0,100.0,100.0,1,1,1.0,3
2126,100.0,100.0,100.0,1,1,1.0,3
2127,66.66666666666667,100.0,100.0,1,1,3.0,3
2134,100.0,100.0,100.0,1,1,1.0,2
2140,100.0,100.0,100.0,1,1,3.0,5
2141,100.0,100.0,100.0,1,1,2.0,2
2142,100.0,100.0,100.0,1,1,1.0,3
2145,100.0,100.0,100.0,1,1,1.0,1
2149,66.67,66.67,66.67,1,0,1.0,3
2152,50.0,50.0,0.0|100.0,1,1,2.0,3
2153,83.33500000000001,83.33500000000001,66.67|100.0,1,1,2.0,3
2164,50.0,50.0,0.0|100.0,1,1,2.0,2
2167,100.0,100.0,100.0,1,1,1.0,1
2169,100.0,100.0,100.0,1,1,1.0,4
2171,50.0,50.0,0.0|100.0,1,1,2.0,3
2173,100.0,100.0,100.0,1,1,1.0,5
2176,50.0,50.0,0.0|100.0,1,1,2.0,2
2181,100.0,100.0,100.0,1,1,1.0,4
2182,100.0,100.0,100.0,1,1,1.0,5
2183,100.0,100.0,100.0,1,1,1.0,4
2184,83.33333333333333,75.0,75.0,1,1,3.0,4
2185,100.0,100.0,100.0,1,1,1.0,4
2186,50.0,50.0,0.0|100.0,1,1,2.0,4
2188,100.0,100.0,100.0,1,1,1.0,2
2190,91.66499999999999,91.66499999999999,83.33|100.0,1,1,2.0,6
2199,100.0,100.0,100.0,1,1,1.0,10
2200,34.0,40.0,40.0|0.0,1,1,5.0,10
2209,0.0,0.0,0.0,1,1,2.0,5
2211,53.333333333333336,80.0,80.0,1,1,3.0,5
2212,100.0,100.0,100.0,1,1,1.0,2
2236,83.33500000000001,83.33500000000001,66.67|100.0,1,1,2.0,3
2237,100.0,100.0,100.0,1,1,1.0,4
2252,100.0,100.0,100.0,1,1,1.0,4
2253,100.0,100.0,100.0,1,1,1.0,3
2278,50.0,50.0,0.0|100.0,1,1,2.0,4
2279,60.0,80.0,0.0|80.0|100.0,1,1,3.0,5
2280,50.0,50.0,0.0|100.0,1,1,2.0,3
2283,50.0,50.0,0.0|100.0,1,1,2.0,5
2286,100.0,100.0,100.0,1,1,1.0,5
2288,100.0,100.0,100.0,1,1,1.0,6
2289,100.0,100.0,100.0,1,1,1.0,5
2291,100.0,100.0,100.0,1,1,1.0,5
